,bc3,bc8,bc2,bc4,bc6,bc12,2/2,6/4,6/8,2/4,5/4,5/8,4/4,12/4,12/8,7/8,7/4,3/4,9/8,9/4
bc3,0.0,16.738726381615233,16.738726381615233,16.738726381615233,20.42035224833365,20.48020777421953,22.119667093676142,22.20525228487399,22.21734997911581,22.317309544352703,22.671172674632285,22.782584547499148,24.134349509777714,24.269092234890422,24.272645480310093,42.893574878765655,137.96887803756155,139.59752598688416,242.87864739541283,242.92453373243399
bc8,16.738726381615233,0.0,0.0,0.0,18.63718150838853,16.688555934928594,17.123362155032957,16.19716226031538,16.195369411495964,17.120437965037727,16.881116206100554,16.864219397332974,18.50991098593475,18.621048625853284,18.62092275039319,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc2,16.738726381615233,0.0,0.0,0.0,18.63718150838853,16.688555934928594,17.123362155032957,16.19716226031538,16.195369411495964,17.120437965037727,16.881116206100554,16.864219397332974,18.50991098593475,18.621048625853284,18.62092275039319,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc4,16.738726381615233,0.0,0.0,0.0,18.63718150838853,16.688555934928594,17.123362155032957,16.19716226031538,16.195369411495964,17.120437965037727,16.881116206100554,16.864219397332974,18.50991098593475,18.621048625853284,18.62092275039319,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc6,20.42035224833365,18.63718150838853,18.63718150838853,18.63718150838853,0.0,14.4253452291444,20.89788595635358,21.694504179682507,21.652624268643613,20.89021265567216,22.50966766251088,22.667047751495293,24.351780370268603,24.45239418941821,24.44070174984753,47.6891446628029,131.17535083786416,135.56112900338223,236.23976741871383,236.29181220637517
bc12,20.48020777421953,16.688555934928594,16.688555934928594,16.688555934928594,14.4253452291444,0.0,17.264174578147514,18.584736198690763,18.58334321193376,17.256390552873274,19.560502042850658,19.512739497327257,21.636796941696215,21.776159451283764,21.776065712195408,49.44547109283083,126.93418584574793,134.40966562758052,234.5808877620559,234.62942275674976
2/2,22.119667093676142,17.123362155032957,17.123362155032957,17.123362155032957,20.89788595635358,17.264174578147514,0.0,6.403063821310861,6.419258952444759,0.9816719338482303,13.963206745795393,13.974978003832206,9.902279314226272,10.69945424775465,10.702283182497291,44.93588516262642,128.55048724370604,135.41324668817214,237.10153083377,237.1492343267748
6/4,22.20525228487399,16.19716226031538,16.19716226031538,16.19716226031538,21.694504179682507,18.584736198690763,6.403063821310861,0.0,0.17943368156025197,6.37917566937267,14.322829817394481,14.283062507618181,9.193280570097627,9.492716152776456,9.493489174884724,41.04724958411214,128.01029777118785,134.93206012232474,237.23904295878887,237.2868941137295
6/8,22.21734997911581,16.195369411495964,16.195369411495964,16.195369411495964,21.652624268643613,18.58334321193376,6.419258952444759,0.17943368156025197,0.0,6.395661325812598,14.325733683390066,14.2818757524909,9.19434166453007,9.491788546242045,9.491653631953305,41.04660370845179,128.02491843251704,134.9867942996034,237.28915997467846,237.33709295897398
2/4,22.317309544352703,17.120437965037727,17.120437965037727,17.120437965037727,20.89021265567216,17.256390552873274,0.9816719338482303,6.37917566937267,6.395661325812598,0.0,13.957798367904088,13.968639800234874,9.891206149307884,10.691070494057708,10.693907149679662,44.94977756595464,128.3969426692691,135.2661459419567,236.93117045556505,236.97890316381574
