,bc6,bc12,bc8,bc2,bc4,bc3,2/4,2/2,6/8,6/4,3/4,9/8,9/4,5/4,4/4,5/8,7/8,7/4,12/8,12/4
bc6,0.0,14.4253452291444,18.63718150838853,18.63718150838853,18.63718150838853,20.42035224833365,20.89021265567216,20.89788595635358,21.652624268643613,21.694504179682507,22.057428857055882,22.323228370738132,22.36580399963445,22.50966766251088,22.646883711821058,22.667047751495293,23.73729777948262,23.875226304900902,23.98262061439724,23.994587220168903
bc12,14.4253452291444,0.0,16.688555934928594,16.688555934928594,16.688555934928594,20.48020777421953,17.256390552873274,17.264174578147514,18.58334321193376,18.584736198690763,18.976483274721954,19.152938618528136,19.155104687511,19.560502042850658,19.477864685334172,19.512739497327257,20.480863226664408,20.54766342497029,21.776635123760855,21.7767849927804
bc8,18.63718150838853,16.688555934928594,0.0,0.0,0.0,16.738726381615233,17.120437965037727,17.123362155032957,16.195369411495964,16.19716226031538,18.441503713272436,17.072239322332894,17.07614878442352,16.881116206100554,17.83270770573841,16.864219397332974,19.574818470918142,19.639320663359058,17.80883910546684,17.809039359189892
bc2,18.63718150838853,16.688555934928594,0.0,0.0,0.0,16.738726381615233,17.120437965037727,17.123362155032957,16.195369411495964,16.19716226031538,18.441503713272436,17.072239322332894,17.07614878442352,16.881116206100554,17.83270770573841,16.864219397332974,19.574818470918142,19.639320663359058,17.80883910546684,17.809039359189892
bc4,18.63718150838853,16.688555934928594,0.0,0.0,0.0,16.738726381615233,17.120437965037727,17.123362155032957,16.195369411495964,16.19716226031538,18.441503713272436,17.072239322332894,17.07614878442352,16.881116206100554,17.83270770573841,16.864219397332974,19.574818470918142,19.639320663359058,17.80883910546684,17.809039359189892
bc3,20.42035224833365,20.48020777421953,16.738726381615233,16.738726381615233,16.738726381615233,0.0,22.317309544352703,22.119667093676142,22.21734997911581,22.20525228487399,23.473424681025353,22.82241808224548,22.813687855080705,22.671172674632285,23.27697099107639,22.782584547499148,24.55207861535666,24.539703943176374,23.81133150669927,23.807760755207912
2/4,20.89021265567216,17.256390552873274,17.120437965037727,17.120437965037727,17.120437965037727,22.317309544352703,0.0,0.9816719338482303,6.395661325812598,6.37917566937267,16.78539969070689,16.138462993094404,16.13632104891534,13.957798367904088,12.245661643465748,13.968639800234874,16.36306345389738,16.455206817581992,15.783967050026083,15.782122759050464
2/2,20.89788595635358,17.264174578147514,17.123362155032957,17.123362155032957,17.123362155032957,22.119667093676142,0.9816719338482303,0.0,6.419258952444759,6.403063821310861,16.754782826944428,16.09718840529633,16.095115735745466,13.963206745795393,12.262429079719205,13.974978003832206,16.424598790861626,16.52334500958803,15.794776561009764,15.79293725866541
6/8,21.652624268643613,18.58334321193376,16.195369411495964,16.195369411495964,16.195369411495964,22.21734997911581,6.395661325812598,6.419258952444759,0.0,0.17943368156025197,16.067330323462215,14.89091630905358,14.892934539049765,14.325733683390066,11.28344039508639,14.2818757524909,16.518507312878985,16.59726391809414,14.11464520299275,14.114822531879518
6/4,21.694504179682507,18.584736198690763,16.19716226031538,16.19716226031538,16.19716226031538,22.20525228487399,6.37917566937267,6.403063821310861,0.17943368156025197,0.0,16.07069673664522,14.892395850511972,14.892948876552977,14.322829817394481,11.282811674395193,14.283062507618181,16.5195260249062,16.596165755682783,14.116202942456754,14.115769675035166
3/4,22.057428857055882,18.976483274721954,18.441503713272436,18.441503713272436,18.441503713272436,23.473424681025353,16.78539969070689,16.754782826944428,16.067330323462215,16.07069673664522,0.0,9.578912003015876,9.580027917893737,16.147189427096983,16.70573267231576,16.23555057577915,18.882717758438968,19.02982227145539,19.907667207721715,19.908149675302838
9/8,22.323228370738132,19.152938618528136,17.072239322332894,17.072239322332894,17.072239322332894,22.82241808224548,16.138462993094404,16.09718840529633,14.89091630905358,14.892395850511972,9.578912003015876,0.0,0.200175665698408,15.653681702102704,18.42366258351994,15.621588067027751,17.141362254184585,17.266593381186848,20.787125834213324,20.787260867929742
9/4,22.36580399963445,19.155104687511,17.07614878442352,17.07614878442352,17.07614878442352,22.813687855080705,16.13632104891534,16.095115735745466,14.892934539049765,14.892948876552977,9.580027917893737,0.200175665698408,0.0,15.654511130121422,18.42306882095588,15.624532000066752,17.142742529157847,17.267564185501048,20.79267975673984,20.792464477536758
5/4,22.50966766251088,19.560502042850658,16.881116206100554,16.881116206100554,16.881116206100554,22.671172674632285,13.957798367904088,13.963206745795393,14.325733683390066,14.322829817394481,16.147189427096983,15.653681702102704,15.654511130121422,0.0,16.410347637831,1.362698728389227,17.107936003998883,17.17691797274757,17.443529454602054,17.442355569904706
4/4,22.646883711821058,19.477864685334172,17.83270770573841,17.83270770573841,17.83270770573841,23.27697099107639,12.245661643465748,12.262429079719205,11.28344039508639,11.282811674395193,16.70573267231576,18.42366258351994,18.42306882095588,16.410347637831,0.0,16.393690096262397,17.620692566203356,17.657037815202585,11.75198360527316,11.75139858981556
