,bc8,bc2,bc4,6/8,6/4,bc12,bc3,5/8,5/4,9/8,9/4,2/4,2/2,12/8,12/4,4/4,3/4,bc6,7/8,7/4
bc8,0.0,0.0,0.0,16.195369411495964,16.19716226031538,16.688555934928594,16.738726381615233,16.864219397332974,16.881116206100554,17.072239322332894,17.07614878442352,17.120437965037727,17.123362155032957,17.80883910546684,17.809039359189892,17.83270770573841,18.441503713272436,18.63718150838853,19.574818470918142,19.639320663359058
bc2,0.0,0.0,0.0,16.195369411495964,16.19716226031538,16.688555934928594,16.738726381615233,16.864219397332974,16.881116206100554,17.072239322332894,17.07614878442352,17.120437965037727,17.123362155032957,17.80883910546684,17.809039359189892,17.83270770573841,18.441503713272436,18.63718150838853,19.574818470918142,19.639320663359058
bc4,0.0,0.0,0.0,16.195369411495964,16.19716226031538,16.688555934928594,16.738726381615233,16.864219397332974,16.881116206100554,17.072239322332894,17.07614878442352,17.120437965037727,17.123362155032957,17.80883910546684,17.809039359189892,17.83270770573841,18.441503713272436,18.63718150838853,19.574818470918142,19.639320663359058
6/8,16.195369411495964,16.195369411495964,16.195369411495964,0.0,0.17943368156025197,18.58334321193376,22.21734997911581,14.2818757524909,14.325733683390066,14.89091630905358,14.892934539049765,6.395661325812598,6.419258952444759,14.11464520299275,14.114822531879518,11.28344039508639,16.067330323462215,21.652624268643613,16.518507312878985,16.59726391809414
6/4,16.19716226031538,16.19716226031538,16.19716226031538,0.17943368156025197,0.0,18.584736198690763,22.20525228487399,14.283062507618181,14.322829817394481,14.892395850511972,14.892948876552977,6.37917566937267,6.403063821310861,14.116202942456754,14.115769675035166,11.282811674395193,16.07069673664522,21.694504179682507,16.5195260249062,16.596165755682783
bc12,16.688555934928594,16.688555934928594,16.688555934928594,18.58334321193376,18.584736198690763,0.0,20.48020777421953,19.512739497327257,19.560502042850658,19.152938618528136,19.155104687511,17.256390552873274,17.264174578147514,21.776635123760855,21.7767849927804,19.477864685334172,18.976483274721954,14.4253452291444,20.480863226664408,20.54766342497029
bc3,16.738726381615233,16.738726381615233,16.738726381615233,22.21734997911581,22.20525228487399,20.48020777421953,0.0,22.782584547499148,22.671172674632285,22.82241808224548,22.813687855080705,22.317309544352703,22.119667093676142,23.81133150669927,23.807760755207912,23.27697099107639,23.473424681025353,20.42035224833365,24.55207861535666,24.539703943176374
5/8,16.864219397332974,16.864219397332974,16.864219397332974,14.2818757524909,14.283062507618181,19.512739497327257,22.782584547499148,0.0,1.362698728389227,15.621588067027751,15.624532000066752,13.968639800234874,13.974978003832206,17.41934447086152,17.419447696853094,16.393690096262397,16.23555057577915,22.667047751495293,17.028098768411212,17.098040149791597
5/4,16.881116206100554,16.881116206100554,16.881116206100554,14.325733683390066,14.322829817394481,19.560502042850658,22.671172674632285,1.362698728389227,0.0,15.653681702102704,15.654511130121422,13.957798367904088,13.963206745795393,17.443529454602054,17.442355569904706,16.410347637831,16.147189427096983,22.50966766251088,17.107936003998883,17.17691797274757
9/8,17.072239322332894,17.072239322332894,17.072239322332894,14.89091630905358,14.892395850511972,19.152938618528136,22.82241808224548,15.621588067027751,15.653681702102704,0.0,0.200175665698408,16.138462993094404,16.09718840529633,20.787125834213324,20.787260867929742,18.42366258351994,9.578912003015876,22.323228370738132,17.141362254184585,17.266593381186848
