,0_16n,1_16n,3_16n,5_16n,7_16n,11_16n,13_16n,15_16n,9_16n,2_16n,6_16n,10_16n,14_16n,12_16n,4_16n,8_16n
0_16n,0.0,4.6464781961592125,4.6464781961592125,4.6464781961592125,4.6464781961592125,4.6464781961592125,4.6464781961592125,4.6464781961592125,4.646478196159213,5.209742038047156,5.209742038047156,5.209742038047156,5.209742038047156,5.441398092702653,5.441398092702654,6.283185307179586
1_16n,4.6464781961592125,0.0,6.083668013960418,7.024814731040726,6.846942449383845,6.083668013960418,7.024814731040726,9.292956392318425,6.283185307179586,7.155317800814373,6.801747615878317,5.60886477181188,5.150200173578465,7.492220967856976,8.12422177394765,8.42245698313917
3_16n,4.6464781961592125,6.083668013960418,0.0,6.846942449383845,7.024814731040726,6.283185307179586,9.292956392318425,7.024814731040726,6.083668013960418,8.12422177394765,8.422456983139169,6.801747615878317,7.155317800814374,6.801747615878317,6.032757763164124,7.155317800814374
5_16n,4.6464781961592125,7.024814731040726,6.846942449383845,0.0,6.083668013960418,9.292956392318425,6.283185307179586,6.083668013960418,7.024814731040726,5.60886477181188,5.150200173578464,7.155317800814374,6.801747615878317,7.492220967856976,8.124221773947648,8.422456983139169
7_16n,4.6464781961592125,6.846942449383845,7.024814731040726,6.083668013960418,0.0,7.024814731040726,6.083668013960418,6.283185307179586,9.292956392318425,6.801747615878316,7.155317800814373,8.12422177394765,8.42245698313917,6.801747615878317,6.032757763164124,7.155317800814374
11_16n,4.6464781961592125,6.083668013960418,6.283185307179586,9.292956392318425,7.024814731040726,0.0,6.846942449383845,7.024814731040726,6.083668013960418,8.12422177394765,8.42245698313917,6.801747615878317,7.155317800814374,6.801747615878317,6.032757763164125,7.155317800814374
13_16n,4.6464781961592125,7.024814731040726,9.292956392318425,6.283185307179586,6.083668013960418,6.846942449383845,0.0,6.083668013960418,7.024814731040726,5.60886477181188,5.150200173578465,7.155317800814374,6.801747615878317,7.492220967856976,8.12422177394765,8.42245698313917
15_16n,4.6464781961592125,9.292956392318425,7.024814731040726,6.083668013960418,6.283185307179586,7.024814731040726,6.083668013960418,0.0,6.846942449383845,6.801747615878317,7.155317800814374,8.12422177394765,8.42245698313917,6.801747615878317,6.032757763164124,7.155317800814374
9_16n,4.646478196159213,6.283185307179586,6.083668013960418,7.024814731040726,9.292956392318425,6.083668013960418,7.024814731040726,6.846942449383845,0.0,7.155317800814374,6.801747615878317,5.60886477181188,5.150200173578465,7.492220967856976,8.124221773947648,8.42245698313917
2_16n,5.209742038047156,7.155317800814373,8.12422177394765,5.60886477181188,6.801747615878316,8.12422177394765,5.60886477181188,6.801747615878317,7.155317800814374,0.0,5.441398092702653,6.283185307179586,8.311872882066082,5.209742038047156,6.846942449383846,9.292956392318425
6_16n,5.209742038047156,6.801747615878317,8.422456983139169,5.150200173578464,7.155317800814373,8.42245698313917,5.150200173578465,7.155317800814374,6.801747615878317,5.441398092702653,0.0,8.311872882066082,6.283185307179586,9.292956392318425,8.16209713905398,6.846942449383845
10_16n,5.209742038047156,5.60886477181188,6.801747615878317,7.155317800814374,8.12422177394765,6.801747615878317,7.155317800814374,8.12422177394765,5.60886477181188,6.283185307179586,8.311872882066082,0.0,5.441398092702653,5.209742038047156,6.846942449383846,9.292956392318425
14_16n,5.209742038047156,5.150200173578465,7.155317800814374,6.801747615878317,8.42245698313917,7.155317800814374,6.801747615878317,8.42245698313917,5.150200173578465,8.311872882066082,6.283185307179586,5.441398092702653,0.0,9.292956392318425,8.16209713905398,6.846942449383845
12_16n,5.441398092702653,7.492220967856976,6.801747615878317,7.492220967856976,6.801747615878317,6.801747615878317,7.492220967856976,6.801747615878317,7.492220967856976,5.209742038047156,9.292956392318425,5.209742038047156,9.292956392318425,0.0,6.283185307179586,10.419484076094312
4_16n,5.441398092702654,8.12422177394765,6.032757763164124,8.124221773947648,6.032757763164124,6.032757763164125,8.12422177394765,6.032757763164124,8.124221773947648,6.846942449383846,8.16209713905398,6.846942449383846,8.16209713905398,6.283185307179586,0.0,5.441398092702653
8_16n,6.283185307179586,8.42245698313917,7.155317800814374,8.422456983139169,7.155317800814374,7.155317800814374,8.42245698313917,7.155317800814374,8.42245698313917,9.292956392318425,6.846942449383845,9.292956392318425,6.846942449383845,10.419484076094312,5.441398092702653,0.0
