,0_16n,1_16n,5_16n,4_16n,2_16n,3_16n,9_16n,8_16n,10_16n,11_16n,13_16n,12_16n,6_16n,7_16n,14_16n,15_16n
0_16n,0.0,0.02352536493096994,0.11637153509183344,0.11737222504785273,0.17390550645705777,0.1745170024738563,0.5064936291883047,0.506620101948745,0.5577150710655312,0.5580560665644988,0.5806666097440601,0.5808741073117732,0.5827371724066939,0.5833956106590649,0.5992407013153277,0.5999298508615987
1_16n,0.02352536493096994,0.0,0.11495557044653323,0.11368901203833916,0.1728433886358426,0.17333712657201072,0.5057767235749228,0.5059207203013234,0.5572089169501148,0.5575273409445075,0.5802295714866872,0.5801906758506066,0.5826098038121336,0.5830311092291729,0.5992069759748406,0.5998869357819017
5_16n,0.11637153509183344,0.11495557044653323,0.0,0.017090579232517545,0.23986580974631197,0.24020148367081318,0.5533856555949267,0.5535623647461071,0.612478645764545,0.6129297443839904,0.6293238379058129,0.6295898546600103,0.6306492550615808,0.6314351940034238,0.6415767300348658,0.6423421576915201
4_16n,0.11737222504785273,0.11368901203833916,0.017090579232517545,0.0,0.23904984501852505,0.2392334528003589,0.553629244517464,0.5538618337559458,0.6124249264354233,0.6128914731246178,0.6297029229370281,0.6296863559953714,0.6307190608612837,0.6314336993225592,0.6415818227844301,0.6423357450243717
2_16n,0.17390550645705777,0.1728433886358426,0.23986580974631197,0.23904984501852505,0.0,0.008498493334358091,0.5610032436602798,0.561113494392936,0.5851101114507719,0.5852991712875784,0.6233145994139623,0.6232193795842466,0.6017059800374792,0.6020183120629738,0.6367933349044655,0.6373650245357967
3_16n,0.1745170024738563,0.17333712657201072,0.24020148367081318,0.2392334528003589,0.008498493334358091,0.0,0.5612157663645021,0.561383557083282,0.5851937719551873,0.5854154083087558,0.6235570272440965,0.6234100270329691,0.601754183026604,0.6021783156816706,0.6369957273016706,0.637457071826786
9_16n,0.5064936291883047,0.5057767235749228,0.5533856555949267,0.553629244517464,0.5610032436602798,0.5612157663645021,0.0,0.023780011342749582,0.20875718970889168,0.20949515249627637,0.11657088793902848,0.11620733940583723,0.4820314781122696,0.48283164041148435,0.47698158563203724,0.47804652594607766
8_16n,0.506620101948745,0.5059207203013234,0.5535623647461071,0.5538618337559458,0.561113494392936,0.561383557083282,0.023780011342749582,0.0,0.20960874403636437,0.21025438222878554,0.116792822962979,0.11837405561870502,0.48178401288563627,0.4825378559762065,0.476843773163721,0.4778921161418495
10_16n,0.5577150710655312,0.5572089169501148,0.612478645764545,0.6124249264354233,0.5851101114507719,0.5851937719551873,0.20875718970889168,0.20960874403636437,0.0,0.008337833109242116,0.15136402109119462,0.1504387348502517,0.5314844203270728,0.53204895554432,0.474774814945664,0.4755412469033302
11_16n,0.5580560665644988,0.5575273409445075,0.6129297443839904,0.6128914731246178,0.5852991712875784,0.5854154083087558,0.20949515249627637,0.21025438222878554,0.008337833109242116,0.0,0.1516756453553253,0.1507339768211185,0.5318493219968214,0.5322448862581179,0.47477499081180585,0.475617592156014
13_16n,0.5806666097440601,0.5802295714866872,0.6293238379058129,0.6297029229370281,0.6233145994139623,0.6235570272440965,0.11657088793902848,0.116792822962979,0.15136402109119462,0.1516756453553253,0.0,0.01658476740585046,0.5453723211384273,0.5459465347400825,0.5175636652543286,0.5186767811594665
12_16n,0.5808741073117732,0.5801906758506066,0.6295898546600103,0.6296863559953714,0.6232193795842466,0.6234100270329691,0.11620733940583723,0.11837405561870502,0.1504387348502517,0.1507339768211185,0.01658476740585046,0.0,0.5454519489512692,0.546002578071907,0.5175146509724187,0.5185643053711921
6_16n,0.5827371724066939,0.5826098038121336,0.6306492550615808,0.6307190608612837,0.6017059800374792,0.601754183026604,0.4820314781122696,0.48178401288563627,0.5314844203270728,0.5318493219968214,0.5453723211384273,0.5454519489512692,0.0,0.0180143619266088,0.20240871172641323,0.20253168660259513
7_16n,0.5833956106590649,0.5830311092291729,0.6314351940034238,0.6314336993225592,0.6020183120629738,0.6021783156816706,0.48283164041148435,0.4825378559762065,0.53204895554432,0.5322448862581179,0.5459465347400825,0.546002578071907,0.0180143619266088,0.0,0.2014951175385893,0.2019204883353501
14_16n,0.5992407013153277,0.5992069759748406,0.6415767300348658,0.6415818227844301,0.6367933349044655,0.6369957273016706,0.47698158563203724,0.476843773163721,0.474774814945664,0.47477499081180585,0.5175636652543286,0.5175146509724187,0.20240871172641323,0.2014951175385893,0.0,0.01814411045173243
15_16n,0.5999298508615987,0.5998869357819017,0.6423421576915201,0.6423357450243717,0.6373650245357967,0.637457071826786,0.47804652594607766,0.4778921161418495,0.4755412469033302,0.475617592156014,0.5186767811594665,0.5185643053711921,0.20253168660259513,0.2019204883353501,0.01814411045173243,0.0
