,4/4,12/4,12/8,6/8,6/4,3/4,5/8,5/4,2/4,2/2,9/8,7/8,7/4,9/4
4/4,0.0,2.8452158594023027,2.8478596462757517,10.09882556838492,17.203848191445026,18.197870625628873,18.840907657536764,18.96522532717097,19.446558083605776,19.55341286515411,22.09041345202057,22.259127856761918,112.08722599534859,230.27091512210188
12/4,2.8452158594023027,0.0,0.32991631665548715,10.998877443417998,17.750382350553227,19.171878076537663,18.728645408368997,19.00496592804991,19.744972524838182,19.842012196527044,23.151067897155336,22.76773409693987,112.13384355985256,230.15892312670778
12/8,2.8478596462757517,0.32991631665548715,0.0,10.992099745245707,17.76166015303467,19.205163695137752,18.725596226811852,19.008423243834315,19.749229447489665,19.846495537518084,23.14650558901519,22.76534339974884,112.16695178861775,230.20697570374114
6/8,10.09882556838492,10.998877443417998,10.992099745245707,0.0,14.000691269467287,16.87961820853029,18.465633472375114,18.7019035135322,16.343847139383804,16.470855215397254,17.584278193506997,18.50988941542377,111.40478986999555,229.00372274528326
6/4,17.203848191445026,17.750382350553227,17.76166015303467,14.000691269467287,0.0,11.644794912055119,14.661798578546163,14.597001561771465,9.527265499736984,9.663835423152399,14.633785642520769,12.74332587382394,111.01844224154935,228.76513056227284
3/4,18.197870625628873,19.171878076537663,19.205163695137752,16.87961820853029,11.644794912055119,0.0,17.405108433364596,17.025803059277887,14.278426723598368,14.383599844233602,15.364643764519972,17.004349692070647,110.92656780426651,229.47654276674774
5/8,18.840907657536764,18.728645408368997,18.725596226811852,18.465633472375114,14.661798578546163,17.405108433364596,0.0,3.325739516829195,17.118038700676404,17.17255752000746,20.60754360904688,19.651164648801316,109.8041962474723,227.7139128274503
5/4,18.96522532717097,19.00496592804991,19.008423243834315,18.7019035135322,14.597001561771465,17.025803059277887,3.325739516829195,0.0,17.374252704466063,17.43281912897544,20.675930207663423,19.84143116841703,109.70285306648503,227.5967417625342
2/4,19.446558083605776,19.744972524838182,19.749229447489665,16.343847139383804,9.527265499736984,14.278426723598368,17.118038700676404,17.374252704466063,0.0,1.1703917592290725,17.04271745877673,15.66538241424524,111.05855954736826,229.37175920235003
2/2,19.55341286515411,19.842012196527044,19.846495537518084,16.470855215397254,9.663835423152399,14.383599844233602,17.17255752000746,17.43281912897544,1.1703917592290725,0.0,17.125290816594198,15.716404885197338,111.33130933198473,229.63077960582572
9/8,22.09041345202057,23.151067897155336,23.14650558901519,17.584278193506997,14.633785642520769,15.364643764519972,20.60754360904688,20.675930207663423,17.04271745877673,17.125290816594198,0.0,15.151205578742006,111.24451875307582,227.54984924218238
7/8,22.259127856761918,22.76773409693987,22.76534339974884,18.50988941542377,12.74332587382394,17.004349692070647,19.651164648801316,19.84143116841703,15.66538241424524,15.716404885197338,15.151205578742006,0.0,109.9129531424998,227.4372445731431
7/4,112.08722599534859,112.13384355985256,112.16695178861775,111.40478986999555,111.01844224154935,110.92656780426651,109.8041962474723,109.70285306648503,111.05855954736826,111.33130933198473,111.24451875307582,109.9129531424998,0.0,127.51707911722832
9/4,230.27091512210188,230.15892312670778,230.20697570374114,229.00372274528326,228.76513056227284,229.47654276674774,227.7139128274503,227.5967417625342,229.37175920235003,229.63077960582572,227.54984924218238,227.4372445731431,127.51707911722832,0.0
