,2/4,2/2,4/4,12/8,12/4,6/8,6/4,mc4,mc2,mc8,3/4,9/4,5/4,9/8,5/8,7/4,7/8,mc12,mc6,mc9,mc7,mc5,mc3
2/4,0.0,1.8435488673206095,1.8435488673206095,5.630034663905703,6.3045080092247545,11.00365162810339,11.228266461381969,13.762954476438104,14.655640604833392,19.12167827076478,19.71931874015798,21.102920812886534,21.202556572887715,21.313596804954397,21.63806623888902,22.36938103046971,22.639796644912682,22.73540613010013,22.920623619492535,26.95105796038624,27.192327087081047,27.621301226026034,28.59722741405223
2/2,1.8435488673206095,0.0,0.0,4.687107787650878,5.160388578965741,10.310541562590961,10.353393821168684,13.370458921018807,15.475398582663823,18.064670108169057,18.88114988408391,19.98187734320453,20.0761211292932,20.256166105877966,20.61266753713839,21.126536338935267,21.46826011459733,21.507275069144484,21.97276672180963,25.76577184739933,26.093117645105576,26.67221793607858,27.97687483862031
4/4,1.8435488673206095,0.0,0.0,4.687107787650878,5.160388578965741,10.310541562590961,10.353393821168684,13.370458921018807,15.475398582663823,18.064670108169057,18.88114988408391,19.98187734320453,20.0761211292932,20.256166105877966,20.61266753713839,21.126536338935267,21.46826011459733,21.507275069144484,21.97276672180963,25.76577184739933,26.093117645105576,26.67221793607858,27.97687483862031
12/8,5.630034663905703,4.687107787650878,4.687107787650878,0.0,1.0486824967566328,7.201800772677564,7.015829783950621,13.16566875692523,17.172555090635655,17.74411824156036,15.81787560594014,17.286250771000123,18.361290809268578,17.68040095805835,19.08960478791456,19.17067446996353,19.650984729138486,17.611488809111773,18.73008404478359,23.38587582348263,24.379601630577053,25.237880918156065,25.785575437242628
12/4,6.3045080092247545,5.160388578965741,5.160388578965741,1.0486824967566328,0.0,7.1315773073327335,6.746301393630056,13.156076620070605,17.79284465202101,17.17327007544309,15.466636498301206,16.674972690884047,17.73653773736894,17.122445912498744,18.54269577821641,18.446272707354705,18.98399306348789,16.90821829199694,18.27149803230125,22.70325975727764,23.75520897494223,24.723891915356436,25.544050069011647
6/8,11.00365162810339,10.310541562590961,10.310541562590961,7.201800772677564,7.1315773073327335,0.0,1.855287940084312,18.759208097533556,17.79694046739368,20.529163627878088,11.685041766761138,15.117066471485764,18.817164304695858,15.285289748233405,19.37134672493801,19.521514556398227,19.875153855897736,16.762614058487916,13.457851417599567,22.228117927933784,24.53354493949243,25.4216180875216,22.367324822310767
6/4,11.228266461381969,10.353393821168684,10.353393821168684,7.015829783950621,6.746301393630056,1.855287940084312,0.0,18.452711477167362,18.757410620094124,19.189025898925898,11.318237560650331,14.183782067845545,17.824827723151614,14.459428242478689,18.507081403861847,18.36675507637721,18.814916826701467,15.65600948638201,12.917888763141859,21.169416084432868,23.53741705681455,24.60390859957022,22.20639799703207
mc4,13.762954476438104,13.370458921018807,13.370458921018807,13.16566875692523,13.156076620070605,18.759208097533556,18.452711477167362,0.0,25.099800796022265,17.74823934929885,24.028753859048933,24.263759074330288,23.80921883104286,24.89056299524408,25.00522192589559,23.96464468079562,24.832350911413993,20.493901531919196,25.099800796022265,27.748873851023216,28.460498941515414,29.698484809834994,32.4037034920393
mc2,14.655640604833392,15.475398582663823,15.475398582663823,17.172555090635655,17.79284465202101,17.79694046739368,18.757410620094124,25.099800796022265,0.0,30.740852297878796,28.17961344738517,30.302856145887514,30.17011742336955,30.235863700870926,30.0146067648767,31.485119494790034,31.33923614069389,32.4037034920393,28.982753492378876,35.4964786985977,35.4964786985977,35.4964786985977,35.4964786985977
mc8,19.12167827076478,18.064670108169057,18.064670108169057,17.74411824156036,17.17327007544309,20.529163627878088,19.189025898925898,17.74823934929885,30.740852297878796,0.0,22.752572286845634,20.84143350233301,20.5374556891494,21.730312065442106,22.078346308540485,19.65309252030103,20.830137223271425,17.74823934929885,22.9128784747792,22.9128784747792,24.186773244895647,26.324893162176366,30.740852297878796
3/4,19.71931874015798,18.88114988408391,18.88114988408391,15.81787560594014,15.466636498301206,11.685041766761138,11.318237560650331,24.028753859048933,28.17961344738517,22.752572286845634,0.0,9.371251924922923,19.738020719772177,9.170976670922379,20.48600291309661,19.98406530747323,20.495332605963448,15.747319750278555,11.543337910270731,18.863602306564708,24.38566103542461,25.48202146733009,12.31057745622331
9/4,21.102920812886534,19.98187734320453,19.98187734320453,17.286250771000123,16.674972690884047,15.117066471485764,14.183782067845545,24.263759074330288,30.302856145887514,20.84143350233301,9.371251924922923,0.0,17.38305332412552,1.572153163643502,18.501639514241212,16.99591057158241,17.807710322550097,15.65181648387643,15.185274801765173,10.52997496911535,21.702337577119646,23.396319374142724,15.708281143665182
5/4,21.202556572887715,20.0761211292932,20.0761211292932,18.361290809268578,17.73653773736894,18.817164304695858,17.824827723151614,23.80921883104286,30.17011742336955,20.5374556891494,19.738020719772177,17.38305332412552,0.0,18.09709192201779,2.8545807211371392,17.29774172905198,18.161952629026118,19.324159691869433,22.087904136170966,20.91515051842962,21.985713376875875,9.751701647701985,27.548866067037522
9/8,21.313596804954397,20.256166105877966,20.256166105877966,17.68040095805835,17.122445912498744,15.285289748233405,14.459428242478689,24.89056299524408,30.235863700870926,21.730312065442106,9.170976670922379,1.572153163643502,18.09709192201779,0.0,19.09428551306404,17.866506495253958,18.57845697408884,16.78386721069146,15.444209218650991,10.976287895672767,22.418257060837796,23.95120936451877,14.933256131143402
5/8,21.63806623888902,20.61266753713839,20.61266753713839,19.08960478791456,18.54269577821641,19.37134672493801,18.507081403861847,25.00522192589559,30.0146067648767,22.078346308540485,20.48600291309661,18.501639514241212,2.8545807211371392,19.09428551306404,0.0,18.711955008037986,19.413508938780016,21.012316858738544,23.095222269284594,22.243939126410382,23.157362898785287,8.846525447416168,28.019408056301927
7/4,22.36938103046971,21.126536338935267,21.126536338935267,19.17067446996353,18.446272707354705,19.521514556398227,18.36675507637721,23.96464468079562,31.485119494790034,19.65309252030103,19.98406530747323,16.99591057158241,17.29774172905198,17.866506495253958,18.711955008037986,0.0,2.4427129587190586,17.987699387537617,21.507212299549547,19.73567963405563,8.319980162087745,23.292650640825517,27.787107779719644
7/8,22.639796644912682,21.46826011459733,21.46826011459733,19.650984729138486,18.98399306348789,19.875153855897736,18.814916826701467,24.832350911413993,31.33923614069389,20.830137223271425,20.495332605963448,17.807710322550097,18.161952629026118,18.57845697408884,19.413508938780016,2.4427129587190586,0.0,19.31262812405109,22.24436172208018,20.75349094324468,7.569506446716221,23.965776224482774,28.10400319541597
