,6/8,6/4,12/4,12/8,2/2,4/4,2/4,3/4,mc6,9/4,9/8,mc12,mc2,mc4,5/4,5/8,7/4,7/8,mc8,mc9,mc3,mc7,mc5
6/8,0.0,1.855287940084312,7.1315773073327335,7.201800772677564,10.310541562590961,10.310541562590961,11.00365162810339,11.685041766761138,13.457851417599567,15.117066471485764,15.285289748233405,16.762614058487916,17.79694046739368,18.759208097533556,18.817164304695858,19.37134672493801,19.521514556398227,19.875153855897736,20.529163627878088,22.228117927933784,22.367324822310767,24.53354493949243,25.4216180875216
6/4,1.855287940084312,0.0,6.746301393630056,7.015829783950621,10.353393821168684,10.353393821168684,11.228266461381969,11.318237560650331,12.917888763141859,14.183782067845545,14.459428242478689,15.65600948638201,18.757410620094124,18.452711477167362,17.824827723151614,18.507081403861847,18.36675507637721,18.814916826701467,19.189025898925898,21.169416084432868,22.20639799703207,23.53741705681455,24.60390859957022
12/4,7.1315773073327335,6.746301393630056,0.0,1.0486824967566328,5.160388578965741,5.160388578965741,6.3045080092247545,15.466636498301206,18.27149803230125,16.674972690884047,17.122445912498744,16.90821829199694,17.79284465202101,13.156076620070605,17.73653773736894,18.54269577821641,18.446272707354705,18.98399306348789,17.17327007544309,22.70325975727764,25.544050069011647,23.75520897494223,24.723891915356436
12/8,7.201800772677564,7.015829783950621,1.0486824967566328,0.0,4.687107787650878,4.687107787650878,5.630034663905703,15.81787560594014,18.73008404478359,17.286250771000123,17.68040095805835,17.611488809111773,17.172555090635655,13.16566875692523,18.361290809268578,19.08960478791456,19.17067446996353,19.650984729138486,17.74411824156036,23.38587582348263,25.785575437242628,24.379601630577053,25.237880918156065
2/2,10.310541562590961,10.353393821168684,5.160388578965741,4.687107787650878,0.0,0.0,1.8435488673206095,18.88114988408391,21.97276672180963,19.98187734320453,20.256166105877966,21.507275069144484,15.475398582663823,13.370458921018807,20.0761211292932,20.61266753713839,21.126536338935267,21.46826011459733,18.064670108169057,25.76577184739933,27.97687483862031,26.093117645105576,26.67221793607858
4/4,10.310541562590961,10.353393821168684,5.160388578965741,4.687107787650878,0.0,0.0,1.8435488673206095,18.88114988408391,21.97276672180963,19.98187734320453,20.256166105877966,21.507275069144484,15.475398582663823,13.370458921018807,20.0761211292932,20.61266753713839,21.126536338935267,21.46826011459733,18.064670108169057,25.76577184739933,27.97687483862031,26.093117645105576,26.67221793607858
2/4,11.00365162810339,11.228266461381969,6.3045080092247545,5.630034663905703,1.8435488673206095,1.8435488673206095,0.0,19.71931874015798,22.920623619492535,21.102920812886534,21.313596804954397,22.73540613010013,14.655640604833392,13.762954476438104,21.202556572887715,21.63806623888902,22.36938103046971,22.639796644912682,19.12167827076478,26.95105796038624,28.59722741405223,27.192327087081047,27.621301226026034
3/4,11.685041766761138,11.318237560650331,15.466636498301206,15.81787560594014,18.88114988408391,18.88114988408391,19.71931874015798,0.0,11.543337910270731,9.371251924922923,9.170976670922379,15.747319750278555,28.17961344738517,24.028753859048933,19.738020719772177,20.48600291309661,19.98406530747323,20.495332605963448,22.752572286845634,18.863602306564708,12.31057745622331,24.38566103542461,25.48202146733009
mc6,13.457851417599567,12.917888763141859,18.27149803230125,18.73008404478359,21.97276672180963,21.97276672180963,22.920623619492535,11.543337910270731,0.0,15.185274801765173,15.444209218650991,14.491376746189438,28.982753492378876,25.099800796022265,22.087904136170966,23.095222269284594,21.507212299549547,22.24436172208018,22.9128784747792,20.493901531919196,20.493901531919196,25.69046515733026,27.49545416973504
9/4,15.117066471485764,14.183782067845545,16.674972690884047,17.286250771000123,19.98187734320453,19.98187734320453,21.102920812886534,9.371251924922923,15.185274801765173,0.0,1.572153163643502,15.65181648387643,30.302856145887514,24.263759074330288,17.38305332412552,18.501639514241212,16.99591057158241,17.807710322550097,20.84143350233301,10.52997496911535,15.708281143665182,21.702337577119646,23.396319374142724
