,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,mc2,mc3,mc4,mc5,mc6,mc7,mc9,mc12,mc8
2/2,0.0,1.8435488673206095,18.88114988408391,0.0,20.0761211292932,10.353393821168684,21.126536338935267,19.98187734320453,5.160388578965741,20.61266753713839,10.310541562590961,21.46826011459733,20.256166105877966,4.687107787650878,15.475398582663823,27.97687483862031,13.370458921018807,26.67221793607858,21.97276672180963,26.093117645105576,25.76577184739933,21.507275069144484,18.064670108169057
2/4,1.8435488673206095,0.0,19.71931874015798,1.8435488673206095,21.202556572887715,11.228266461381969,22.36938103046971,21.102920812886534,6.3045080092247545,21.63806623888902,11.00365162810339,22.639796644912682,21.313596804954397,5.630034663905703,14.655640604833392,28.59722741405223,13.762954476438104,27.621301226026034,22.920623619492535,27.192327087081047,26.95105796038624,22.73540613010013,19.12167827076478
3/4,18.88114988408391,19.71931874015798,0.0,18.88114988408391,19.738020719772177,11.318237560650331,19.98406530747323,9.371251924922923,15.466636498301206,20.48600291309661,11.685041766761138,20.495332605963448,9.170976670922379,15.81787560594014,28.17961344738517,12.31057745622331,24.028753859048933,25.48202146733009,11.543337910270731,24.38566103542461,18.863602306564708,15.747319750278555,22.752572286845634
4/4,0.0,1.8435488673206095,18.88114988408391,0.0,20.0761211292932,10.353393821168684,21.126536338935267,19.98187734320453,5.160388578965741,20.61266753713839,10.310541562590961,21.46826011459733,20.256166105877966,4.687107787650878,15.475398582663823,27.97687483862031,13.370458921018807,26.67221793607858,21.97276672180963,26.093117645105576,25.76577184739933,21.507275069144484,18.064670108169057
5/4,20.0761211292932,21.202556572887715,19.738020719772177,20.0761211292932,0.0,17.824827723151614,17.29774172905198,17.38305332412552,17.73653773736894,2.8545807211371392,18.817164304695858,18.161952629026118,18.09709192201779,18.361290809268578,30.17011742336955,27.548866067037522,23.80921883104286,9.751701647701985,22.087904136170966,21.985713376875875,20.91515051842962,19.324159691869433,20.5374556891494
6/4,10.353393821168684,11.228266461381969,11.318237560650331,10.353393821168684,17.824827723151614,0.0,18.36675507637721,14.183782067845545,6.746301393630056,18.507081403861847,1.855287940084312,18.814916826701467,14.459428242478689,7.015829783950621,18.757410620094124,22.20639799703207,18.452711477167362,24.60390859957022,12.917888763141859,23.53741705681455,21.169416084432868,15.65600948638201,19.189025898925898
7/4,21.126536338935267,22.36938103046971,19.98406530747323,21.126536338935267,17.29774172905198,18.36675507637721,0.0,16.99591057158241,18.446272707354705,18.711955008037986,19.521514556398227,2.4427129587190586,17.866506495253958,19.17067446996353,31.485119494790034,27.787107779719644,23.96464468079562,23.292650640825517,21.507212299549547,8.319980162087745,19.73567963405563,17.987699387537617,19.65309252030103
9/4,19.98187734320453,21.102920812886534,9.371251924922923,19.98187734320453,17.38305332412552,14.183782067845545,16.99591057158241,0.0,16.674972690884047,18.501639514241212,15.117066471485764,17.807710322550097,1.572153163643502,17.286250771000123,30.302856145887514,15.708281143665182,24.263759074330288,23.396319374142724,15.185274801765173,21.702337577119646,10.52997496911535,15.65181648387643,20.84143350233301
12/4,5.160388578965741,6.3045080092247545,15.466636498301206,5.160388578965741,17.73653773736894,6.746301393630056,18.446272707354705,16.674972690884047,0.0,18.54269577821641,7.1315773073327335,18.98399306348789,17.122445912498744,1.0486824967566328,17.79284465202101,25.544050069011647,13.156076620070605,24.723891915356436,18.27149803230125,23.75520897494223,22.70325975727764,16.90821829199694,17.17327007544309
5/8,20.61266753713839,21.63806623888902,20.48600291309661,20.61266753713839,2.8545807211371392,18.507081403861847,18.711955008037986,18.501639514241212,18.54269577821641,0.0,19.37134672493801,19.413508938780016,19.09428551306404,19.08960478791456,30.0146067648767,28.019408056301927,25.00522192589559,8.846525447416168,23.095222269284594,23.157362898785287,22.243939126410382,21.012316858738544,22.078346308540485
