,mc12,mc6,9/4,6/4,3/4,6/8,9/8,12/4,12/8,mc8,7/4,mc9,7/8,5/4,mc4,5/8,4/4,2/2,mc7,2/4,mc3,mc5,mc2
mc12,0.0,14.491376746189438,15.65181648387643,15.65600948638201,15.747319750278555,16.762614058487916,16.78386721069146,16.90821829199694,17.611488809111773,17.74823934929885,17.987699387537617,18.708286933869708,19.31262812405109,19.324159691869433,20.493901531919196,21.012316858738544,21.507275069144484,21.507275069144484,22.58317958127243,22.73540613010013,25.099800796022265,25.099800796022265,32.4037034920393
mc6,14.491376746189438,0.0,15.185274801765173,12.917888763141859,11.543337910270731,13.457851417599567,15.444209218650991,18.27149803230125,18.73008404478359,22.9128784747792,21.507212299549547,20.493901531919196,22.24436172208018,22.087904136170966,25.099800796022265,23.095222269284594,21.97276672180963,21.97276672180963,25.69046515733026,22.920623619492535,20.493901531919196,27.49545416973504,28.982753492378876
9/4,15.65181648387643,15.185274801765173,0.0,14.183782067845545,9.371251924922923,15.117066471485764,1.572153163643502,16.674972690884047,17.286250771000123,20.84143350233301,16.99591057158241,10.52997496911535,17.807710322550097,17.38305332412552,24.263759074330288,18.501639514241212,19.98187734320453,19.98187734320453,21.702337577119646,21.102920812886534,15.708281143665182,23.396319374142724,30.302856145887514
6/4,15.65600948638201,12.917888763141859,14.183782067845545,0.0,11.318237560650331,1.855287940084312,14.459428242478689,6.746301393630056,7.015829783950621,19.189025898925898,18.36675507637721,21.169416084432868,18.814916826701467,17.824827723151614,18.452711477167362,18.507081403861847,10.353393821168684,10.353393821168684,23.53741705681455,11.228266461381969,22.20639799703207,24.60390859957022,18.757410620094124
3/4,15.747319750278555,11.543337910270731,9.371251924922923,11.318237560650331,0.0,11.685041766761138,9.170976670922379,15.466636498301206,15.81787560594014,22.752572286845634,19.98406530747323,18.863602306564708,20.495332605963448,19.738020719772177,24.028753859048933,20.48600291309661,18.88114988408391,18.88114988408391,24.38566103542461,19.71931874015798,12.31057745622331,25.48202146733009,28.17961344738517
6/8,16.762614058487916,13.457851417599567,15.117066471485764,1.855287940084312,11.685041766761138,0.0,15.285289748233405,7.1315773073327335,7.201800772677564,20.529163627878088,19.521514556398227,22.228117927933784,19.875153855897736,18.817164304695858,18.759208097533556,19.37134672493801,10.310541562590961,10.310541562590961,24.53354493949243,11.00365162810339,22.367324822310767,25.4216180875216,17.79694046739368
9/8,16.78386721069146,15.444209218650991,1.572153163643502,14.459428242478689,9.170976670922379,15.285289748233405,0.0,17.122445912498744,17.68040095805835,21.730312065442106,17.866506495253958,10.976287895672767,18.57845697408884,18.09709192201779,24.89056299524408,19.09428551306404,20.256166105877966,20.256166105877966,22.418257060837796,21.313596804954397,14.933256131143402,23.95120936451877,30.235863700870926
12/4,16.90821829199694,18.27149803230125,16.674972690884047,6.746301393630056,15.466636498301206,7.1315773073327335,17.122445912498744,0.0,1.0486824967566328,17.17327007544309,18.446272707354705,22.70325975727764,18.98399306348789,17.73653773736894,13.156076620070605,18.54269577821641,5.160388578965741,5.160388578965741,23.75520897494223,6.3045080092247545,25.544050069011647,24.723891915356436,17.79284465202101
12/8,17.611488809111773,18.73008404478359,17.286250771000123,7.015829783950621,15.81787560594014,7.201800772677564,17.68040095805835,1.0486824967566328,0.0,17.74411824156036,19.17067446996353,23.38587582348263,19.650984729138486,18.361290809268578,13.16566875692523,19.08960478791456,4.687107787650878,4.687107787650878,24.379601630577053,5.630034663905703,25.785575437242628,25.237880918156065,17.172555090635655
mc8,17.74823934929885,22.9128784747792,20.84143350233301,19.189025898925898,22.752572286845634,20.529163627878088,21.730312065442106,17.17327007544309,17.74411824156036,0.0,19.65309252030103,22.9128784747792,20.830137223271425,20.5374556891494,17.74823934929885,22.078346308540485,18.064670108169057,18.064670108169057,24.186773244895647,19.12167827076478,30.740852297878796,26.324893162176366,30.740852297878796
