,mc2,2/4,2/2,4/4,12/8,12/4,6/8,6/4,mc4,3/4,mc6,5/8,5/4,9/8,9/4,mc8,7/8,7/4,mc12,mc5,mc7,mc9,mc3
mc2,0.0,14.655640604833392,15.475398582663823,15.475398582663823,17.172555090635655,17.79284465202101,17.79694046739368,18.757410620094124,25.099800796022265,28.17961344738517,28.982753492378876,30.0146067648767,30.17011742336955,30.235863700870926,30.302856145887514,30.740852297878796,31.33923614069389,31.485119494790034,32.4037034920393,35.4964786985977,35.4964786985977,35.4964786985977,35.4964786985977
2/4,14.655640604833392,0.0,1.8435488673206095,1.8435488673206095,5.630034663905703,6.3045080092247545,11.00365162810339,11.228266461381969,13.762954476438104,19.71931874015798,22.920623619492535,21.63806623888902,21.202556572887715,21.313596804954397,21.102920812886534,19.12167827076478,22.639796644912682,22.36938103046971,22.73540613010013,27.621301226026034,27.192327087081047,26.95105796038624,28.59722741405223
2/2,15.475398582663823,1.8435488673206095,0.0,0.0,4.687107787650878,5.160388578965741,10.310541562590961,10.353393821168684,13.370458921018807,18.88114988408391,21.97276672180963,20.61266753713839,20.0761211292932,20.256166105877966,19.98187734320453,18.064670108169057,21.46826011459733,21.126536338935267,21.507275069144484,26.67221793607858,26.093117645105576,25.76577184739933,27.97687483862031
4/4,15.475398582663823,1.8435488673206095,0.0,0.0,4.687107787650878,5.160388578965741,10.310541562590961,10.353393821168684,13.370458921018807,18.88114988408391,21.97276672180963,20.61266753713839,20.0761211292932,20.256166105877966,19.98187734320453,18.064670108169057,21.46826011459733,21.126536338935267,21.507275069144484,26.67221793607858,26.093117645105576,25.76577184739933,27.97687483862031
12/8,17.172555090635655,5.630034663905703,4.687107787650878,4.687107787650878,0.0,1.0486824967566328,7.201800772677564,7.015829783950621,13.16566875692523,15.81787560594014,18.73008404478359,19.08960478791456,18.361290809268578,17.68040095805835,17.286250771000123,17.74411824156036,19.650984729138486,19.17067446996353,17.611488809111773,25.237880918156065,24.379601630577053,23.38587582348263,25.785575437242628
12/4,17.79284465202101,6.3045080092247545,5.160388578965741,5.160388578965741,1.0486824967566328,0.0,7.1315773073327335,6.746301393630056,13.156076620070605,15.466636498301206,18.27149803230125,18.54269577821641,17.73653773736894,17.122445912498744,16.674972690884047,17.17327007544309,18.98399306348789,18.446272707354705,16.90821829199694,24.723891915356436,23.75520897494223,22.70325975727764,25.544050069011647
6/8,17.79694046739368,11.00365162810339,10.310541562590961,10.310541562590961,7.201800772677564,7.1315773073327335,0.0,1.855287940084312,18.759208097533556,11.685041766761138,13.457851417599567,19.37134672493801,18.817164304695858,15.285289748233405,15.117066471485764,20.529163627878088,19.875153855897736,19.521514556398227,16.762614058487916,25.4216180875216,24.53354493949243,22.228117927933784,22.367324822310767
6/4,18.757410620094124,11.228266461381969,10.353393821168684,10.353393821168684,7.015829783950621,6.746301393630056,1.855287940084312,0.0,18.452711477167362,11.318237560650331,12.917888763141859,18.507081403861847,17.824827723151614,14.459428242478689,14.183782067845545,19.189025898925898,18.814916826701467,18.36675507637721,15.65600948638201,24.60390859957022,23.53741705681455,21.169416084432868,22.20639799703207
mc4,25.099800796022265,13.762954476438104,13.370458921018807,13.370458921018807,13.16566875692523,13.156076620070605,18.759208097533556,18.452711477167362,0.0,24.028753859048933,25.099800796022265,25.00522192589559,23.80921883104286,24.89056299524408,24.263759074330288,17.74823934929885,24.832350911413993,23.96464468079562,20.493901531919196,29.698484809834994,28.460498941515414,27.748873851023216,32.4037034920393
3/4,28.17961344738517,19.71931874015798,18.88114988408391,18.88114988408391,15.81787560594014,15.466636498301206,11.685041766761138,11.318237560650331,24.028753859048933,0.0,11.543337910270731,20.48600291309661,19.738020719772177,9.170976670922379,9.371251924922923,22.752572286845634,20.495332605963448,19.98406530747323,15.747319750278555,25.48202146733009,24.38566103542461,18.863602306564708,12.31057745622331
mc6,28.982753492378876,22.920623619492535,21.97276672180963,21.97276672180963,18.73008404478359,18.27149803230125,13.457851417599567,12.917888763141859,25.099800796022265,11.543337910270731,0.0,23.095222269284594,22.087904136170966,15.444209218650991,15.185274801765173,22.9128784747792,22.24436172208018,21.507212299549547,14.491376746189438,27.49545416973504,25.69046515733026,20.493901531919196,20.493901531919196
5/8,30.0146067648767,21.63806623888902,20.61266753713839,20.61266753713839,19.08960478791456,18.54269577821641,19.37134672493801,18.507081403861847,25.00522192589559,20.48600291309661,23.095222269284594,0.0,2.8545807211371392,19.09428551306404,18.501639514241212,22.078346308540485,19.413508938780016,18.711955008037986,21.012316858738544,8.846525447416168,23.157362898785287,22.243939126410382,28.019408056301927
5/4,30.17011742336955,21.202556572887715,20.0761211292932,20.0761211292932,18.361290809268578,17.73653773736894,18.817164304695858,17.824827723151614,23.80921883104286,19.738020719772177,22.087904136170966,2.8545807211371392,0.0,18.09709192201779,17.38305332412552,20.5374556891494,18.161952629026118,17.29774172905198,19.324159691869433,9.751701647701985,21.985713376875875,20.91515051842962,27.548866067037522
9/8,30.235863700870926,21.313596804954397,20.256166105877966,20.256166105877966,17.68040095805835,17.122445912498744,15.285289748233405,14.459428242478689,24.89056299524408,9.170976670922379,15.444209218650991,19.09428551306404,18.09709192201779,0.0,1.572153163643502,21.730312065442106,18.57845697408884,17.866506495253958,16.78386721069146,23.95120936451877,22.418257060837796,10.976287895672767,14.933256131143402
9/4,30.302856145887514,21.102920812886534,19.98187734320453,19.98187734320453,17.286250771000123,16.674972690884047,15.117066471485764,14.183782067845545,24.263759074330288,9.371251924922923,15.185274801765173,18.501639514241212,17.38305332412552,1.572153163643502,0.0,20.84143350233301,17.807710322550097,16.99591057158241,15.65181648387643,23.396319374142724,21.702337577119646,10.52997496911535,15.708281143665182
mc8,30.740852297878796,19.12167827076478,18.064670108169057,18.064670108169057,17.74411824156036,17.17327007544309,20.529163627878088,19.189025898925898,17.74823934929885,22.752572286845634,22.9128784747792,22.078346308540485,20.5374556891494,21.730312065442106,20.84143350233301,0.0,20.830137223271425,19.65309252030103,17.74823934929885,26.324893162176366,24.186773244895647,22.9128784747792,30.740852297878796
7/8,31.33923614069389,22.639796644912682,21.46826011459733,21.46826011459733,19.650984729138486,18.98399306348789,19.875153855897736,18.814916826701467,24.832350911413993,20.495332605963448,22.24436172208018,19.413508938780016,18.161952629026118,18.57845697408884,17.807710322550097,20.830137223271425,0.0,2.4427129587190586,19.31262812405109,23.965776224482774,7.569506446716221,20.75349094324468,28.10400319541597
