,mc7,7/8,7/4,9/4,5/4,9/8,mc12,5/8,6/4,mc9,12/4,mc8,12/8,3/4,6/8,mc6,4/4,2/2,mc5,2/4,mc4,mc3,mc2
mc7,0.0,7.569506446716221,8.319980162087745,21.702337577119646,21.985713376875875,22.418257060837796,22.58317958127243,23.157362898785287,23.53741705681455,23.664319132398465,23.75520897494223,24.186773244895647,24.379601630577053,24.38566103542461,24.53354493949243,25.69046515733026,26.093117645105576,26.093117645105576,26.832815729997478,27.192327087081047,28.460498941515414,30.983866769659336,35.4964786985977
7/8,7.569506446716221,0.0,2.4427129587190586,17.807710322550097,18.161952629026118,18.57845697408884,19.31262812405109,19.413508938780016,18.814916826701467,20.75349094324468,18.98399306348789,20.830137223271425,19.650984729138486,20.495332605963448,19.875153855897736,22.24436172208018,21.46826011459733,21.46826011459733,23.965776224482774,22.639796644912682,24.832350911413993,28.10400319541597,31.33923614069389
7/4,8.319980162087745,2.4427129587190586,0.0,16.99591057158241,17.29774172905198,17.866506495253958,17.987699387537617,18.711955008037986,18.36675507637721,19.73567963405563,18.446272707354705,19.65309252030103,19.17067446996353,19.98406530747323,19.521514556398227,21.507212299549547,21.126536338935267,21.126536338935267,23.292650640825517,22.36938103046971,23.96464468079562,27.787107779719644,31.485119494790034
9/4,21.702337577119646,17.807710322550097,16.99591057158241,0.0,17.38305332412552,1.572153163643502,15.65181648387643,18.501639514241212,14.183782067845545,10.52997496911535,16.674972690884047,20.84143350233301,17.286250771000123,9.371251924922923,15.117066471485764,15.185274801765173,19.98187734320453,19.98187734320453,23.396319374142724,21.102920812886534,24.263759074330288,15.708281143665182,30.302856145887514
5/4,21.985713376875875,18.161952629026118,17.29774172905198,17.38305332412552,0.0,18.09709192201779,19.324159691869433,2.8545807211371392,17.824827723151614,20.91515051842962,17.73653773736894,20.5374556891494,18.361290809268578,19.738020719772177,18.817164304695858,22.087904136170966,20.0761211292932,20.0761211292932,9.751701647701985,21.202556572887715,23.80921883104286,27.548866067037522,30.17011742336955
9/8,22.418257060837796,18.57845697408884,17.866506495253958,1.572153163643502,18.09709192201779,0.0,16.78386721069146,19.09428551306404,14.459428242478689,10.976287895672767,17.122445912498744,21.730312065442106,17.68040095805835,9.170976670922379,15.285289748233405,15.444209218650991,20.256166105877966,20.256166105877966,23.95120936451877,21.313596804954397,24.89056299524408,14.933256131143402,30.235863700870926
mc12,22.58317958127243,19.31262812405109,17.987699387537617,15.65181648387643,19.324159691869433,16.78386721069146,0.0,21.012316858738544,15.65600948638201,18.708286933869708,16.90821829199694,17.74823934929885,17.611488809111773,15.747319750278555,16.762614058487916,14.491376746189438,21.507275069144484,21.507275069144484,25.099800796022265,22.73540613010013,20.493901531919196,25.099800796022265,32.4037034920393
5/8,23.157362898785287,19.413508938780016,18.711955008037986,18.501639514241212,2.8545807211371392,19.09428551306404,21.012316858738544,0.0,18.507081403861847,22.243939126410382,18.54269577821641,22.078346308540485,19.08960478791456,20.48600291309661,19.37134672493801,23.095222269284594,20.61266753713839,20.61266753713839,8.846525447416168,21.63806623888902,25.00522192589559,28.019408056301927,30.0146067648767
6/4,23.53741705681455,18.814916826701467,18.36675507637721,14.183782067845545,17.824827723151614,14.459428242478689,15.65600948638201,18.507081403861847,0.0,21.169416084432868,6.746301393630056,19.189025898925898,7.015829783950621,11.318237560650331,1.855287940084312,12.917888763141859,10.353393821168684,10.353393821168684,24.60390859957022,11.228266461381969,18.452711477167362,22.20639799703207,18.757410620094124
mc9,23.664319132398465,20.75349094324468,19.73567963405563,10.52997496911535,20.91515051842962,10.976287895672767,18.708286933869708,22.243939126410382,21.169416084432868,0.0,22.70325975727764,22.9128784747792,23.38587582348263,18.863602306564708,22.228117927933784,20.493901531919196,25.76577184739933,25.76577184739933,25.92296279363144,26.95105796038624,27.748873851023216,23.664319132398465,35.4964786985977
