Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,mc2,mc3,mc4,mc5,mc6,mc7,mc9,mc12
2/2,0.0,1.8691803902968696,19.32340986320665,0.0,20.872751656504025,10.700206246064853,21.77585765672079,20.519951384318418,5.296756070445229,21.516341345156675,10.677092441429785,22.18887693224682,20.82918391605587,4.84048095780328,15.50691087370081,28.076679957571947,13.373955756014666,26.73506814377198,21.98017103198389,26.13902067845676,25.80193421936167,21.50799977918852
2/4,1.8691803902968696,0.0,20.167738616099353,1.8691803902968696,22.003557356882308,11.565142834686204,23.02059795186727,21.643471434345305,6.415839090425278,22.552131461056597,11.365135705328331,23.365417534055833,21.891361502408273,5.75826350180742,14.68622656456805,28.699960623944555,13.762954476438082,27.685159848659584,22.927148467025702,27.238674026387166,26.987434728018954,22.73540613010027
3/4,19.32340986320665,20.167738616099353,0.0,19.32340986320665,20.826076447148598,11.674742259446427,20.847914585747635,9.66739449093889,15.851687889793865,21.664489705946412,12.052538473888786,21.446365909140265,9.489782722181987,16.210790496910796,28.264770983053857,12.33857754858328,24.09984219086098,25.75053424851614,11.543337910270642,24.586309282824825,18.86969929593839,15.747319750278402
4/4,0.0,1.8691803902968696,19.32340986320665,0.0,20.872751656504025,10.700206246064853,21.77585765672079,20.519951384318418,5.296756070445229,21.516341345156675,10.677092441429785,22.18887693224682,20.82918391605587,4.84048095780328,15.50691087370081,28.076679957571947,13.373955756014666,26.73506814377198,21.98017103198389,26.13902067845676,25.80193421936167,21.50799977918852
5/4,20.872751656504025,22.003557356882308,20.826076447148598,20.872751656504025,0.0,18.59788414784766,18.249098352220592,18.422090936204896,18.50975607562707,2.9061111045017127,19.604234228566394,19.184615795139155,19.174139882512247,19.142113314409652,30.62934236021048,28.275513672763505,24.07472673333492,9.775662651907373,22.29758698054653,22.37758797313625,21.235938214143548,19.433502080435527
6/4,10.700206246064853,11.565142834686204,11.674742259446427,10.700206246064853,18.59788414784766,0.0,18.988917259740244,14.717941134407917,7.154122146934913,19.352055631918997,1.8811779714835335,19.50300382629424,15.023290199157492,7.424845305938547,18.984634977192645,22.20964008262533,18.488724032444857,24.665450116938885,12.921756792201244,23.58337964215154,21.170549769783978,15.656009486381988
7/4,21.77585765672079,23.02059795186727,20.847914585747635,21.77585765672079,18.249098352220592,18.988917259740244,0.0,17.851021543677415,19.08364610480856,19.705123272847825,20.150779115575627,2.490889871784531,18.744115860229392,19.81184217095591,31.858215481062963,28.381561424237997,24.178037515426563,23.71879794477727,21.689580345796823,8.341167450813243,20.015667379749225,18.082637078975846
9/4,20.519951384318418,21.643471434345305,9.66739449093889,20.519951384318418,18.422090936204896,14.717941134407917,17.851021543677415,0.0,17.15487525429419,19.601798969956278,15.654507192452494,18.727166259293707,1.5947918015117324,17.769937767066796,30.65493124487584,15.91578925528318,24.487674309732625,23.620077978476314,15.218809646569408,21.87477938318435,10.533548601886908,15.67130727842314
12/4,5.296756070445229,6.415839090425278,15.851687889793865,5.296756070445229,18.50975607562707,7.154122146934913,19.08364610480856,17.15487525429419,0.0,19.403701803623157,7.548454759844436,19.68202040085687,17.6271120552937,1.0576208203615114,17.832927476977627,25.60590249905135,13.19569482882152,24.783181235089067,18.272025101210236,23.79929734121053,22.726473253909756,16.90871337027174
5/8,21.516341345156675,22.552131461056597,21.664489705946412,21.516341345156675,2.9061111045017127,19.352055631918997,19.705123272847825,19.601798969956278,19.403701803623157,0.0,20.238657056919056,20.492697809222566,20.243109419546794,19.963754085277415,30.532949619907274,28.821368269081926,25.31705591462186,8.846525447416175,23.320607969809142,23.57539976395407,22.58290300688284,21.136418617612605
