Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,mc2,mc3,mc4,mc5,mc6,mc7,mc9,mc12
2/2,0.0,3.091937256596699,17.72451165380138,0.0,18.26753949672237,13.127552160120755,18.531488143447632,18.756202723556733,7.750771077803929,19.999131836606924,13.71755481427841,19.775593415326878,19.58647853940566,7.370506516311733,21.774243198303047,28.43492049995665,10.066031402441245,25.174109588458503,20.142513275829234,23.639325057444356,22.741955062401594,16.776668764854747
2/4,3.091937256596699,0.0,19.033185793693278,3.091937256596699,19.998283189827934,14.580532726437749,20.432638316559068,20.606391956748524,9.485159381075468,21.519233388816758,14.884748686854197,21.515040509911433,21.319057023663355,8.735215388220087,20.55116957878713,29.184655859779593,9.082536182147686,26.405449417836813,21.23956177266419,25.120410530704994,24.377247038185402,18.38023254593921
3/4,17.72451165380138,19.033185793693278,0.0,17.72451165380138,18.892370945707338,6.842969148982471,18.49427183331001,11.971213276339038,12.147774688866424,20.528262523074492,6.528850434267506,19.70690229210857,12.23664528266398,12.401636118162983,29.618898295687202,16.860908496117275,22.531880166547214,25.06522724094437,7.509149042086153,23.164757036545428,17.31284621361461,9.872023519379637
4/4,0.0,3.091937256596699,17.72451165380138,0.0,18.26753949672237,13.127552160120755,18.531488143447632,18.756202723556733,7.750771077803929,19.999131836606924,13.71755481427841,19.775593415326878,19.58647853940566,7.370506516311733,21.774243198303047,28.43492049995665,10.066031402441245,25.174109588458503,20.142513275829234,23.639325057444356,22.741955062401594,16.776668764854747
5/4,18.26753949672237,19.998283189827934,18.892370945707338,18.26753949672237,0.0,16.35452417622192,15.976504706936229,16.18734831601945,15.361167763599527,4.725716542773109,17.75799011372508,17.580618575116052,17.321713947527506,16.170403565313926,32.02201940411333,28.955306529459246,23.51264064404787,13.115183188376964,21.53413032976607,21.53642260240651,20.034606365616376,17.498484224990992
6/4,13.127552160120755,14.580532726437749,6.842969148982471,13.127552160120755,16.35452417622192,0.0,15.987991420246253,12.222156318954232,7.130049758090956,18.13961597314207,2.9589580575274232,17.31566855310849,13.014232237740613,7.444195383148461,25.886957514774892,22.250616160688484,19.181367864734288,23.713354719157433,9.249464020700085,21.609474483866297,17.816281613825787,8.565390152161756
7/4,18.531488143447632,20.432638316559068,18.49427183331001,18.531488143447632,15.976504706936229,15.987991420246253,0.0,15.13096304180077,15.148730644511849,18.292739106952205,17.599372090036468,4.035919429701342,16.419225724446804,16.1008094422056,33.03571748203649,28.94919659769878,23.94673519076412,23.55642211226509,21.226679692094617,11.10965289360715,19.134725382156464,16.671365560905063
9/4,18.756202723556733,20.606391956748524,11.971213276339038,18.756202723556733,16.18734831601945,12.222156318954232,15.13096304180077,0.0,13.983140511907854,18.34320045943426,13.59182063674927,16.80714054932685,2.4931627668755807,14.852697129715358,32.76628591157731,21.382970631062843,24.329736473819484,23.24440142837906,15.733894405265563,20.69546513991882,7.60678921337383,13.375779297477802
12/4,7.750771077803929,9.485159381075468,12.147774688866424,7.750771077803929,15.361167763599527,7.130049758090956,15.148730644511849,13.983140511907854,0.0,17.57208028031585,8.319264661704446,16.789282680970107,15.165355579401135,1.581431615848557,24.906183503698298,25.521930727513766,13.347615200493067,23.27571504874022,15.60759852722059,21.185714741856916,19.01241661627638,9.803767927109702
5/8,19.999131836606924,21.519233388816758,20.528262523074492,19.999131836606924,4.725716542773109,18.13961597314207,18.292739106952205,18.34320045943426,17.57208028031585,0.0,19.297488147436397,19.535243833702477,19.2381850415207,18.238721183255215,31.74337750348719,29.67186133019877,25.309666684671818,11.286552287332164,22.764555017452395,23.100166432899325,21.813239365864465,19.896499757395688
6/8,13.71755481427841,14.884748686854197,6.528850434267506,13.71755481427841,17.75799011372508,2.9589580575274232,17.599372090036468,13.59182063674927,8.319264661704446,19.297488147436397,0.0,18.726219458784566,14.16037109035267,8.30928161370042,24.789248460507842,21.857728267187202,19.06343654165759,24.618813650435758,8.358244800507867,22.76397555958985,18.927232938907636,9.406384937073812
7/8,19.775593415326878,21.515040509911433,19.70690229210857,19.775593415326878,17.580618575116052,17.31566855310849,4.035919429701342,16.80714054932685,16.789282680970107,19.535243833702477,18.726219458784566,0.0,17.887017751380654,17.619407191074455,32.83298206916804,29.4625081494354,25.23363977384038,24.474701392261274,22.12797319675895,9.544094650238778,20.485574341396806,18.50831757229775
9/8,19.58647853940566,21.319057023663355,12.23664528266398,19.58647853940566,17.321713947527506,13.014232237740613,16.419225724446804,2.4931627668755807,15.165355579401135,19.2381850415207,14.16037109035267,17.887017751380654,0.0,15.933981797435711,32.67775556592913,20.480322522510527,25.13328864559434,23.865866168605685,15.621762778624763,21.510645918464274,6.806290423891939,14.825116521810825
12/8,7.370506516311733,8.735215388220087,12.401636118162983,7.370506516311733,16.170403565313926,7.444195383148461,16.1008094422056,14.852697129715358,1.581431615848557,18.238721183255215,8.30928161370042,17.619407191074455,15.933981797435711,0.0,24.13097351929087,25.59198792559372,12.548711554542477,23.787773900347858,15.757725783160085,21.854479682416933,19.73986563309219,10.324196977910951
mc2,21.774243198303047,20.55116957878713,29.618898295687202,21.774243198303047,32.02201940411333,25.886957514774892,33.03571748203649,32.76628591157731,24.906183503698298,31.74337750348719,24.789248460507842,32.83298206916804,32.67775556592913,24.13097351929087,0.0,35.4964786985977,25.099800796022265,35.4964786985977,28.982753492378876,35.4964786985977,35.4964786985977,32.4037034920393
mc3,28.43492049995665,29.184655859779593,16.860908496117275,28.43492049995665,28.955306529459246,22.250616160688484,28.94919659769878,21.382970631062843,25.521930727513766,29.67186133019877,21.857728267187202,29.4625081494354,20.480322522510527,25.59198792559372,35.4964786985977,0.0,32.4037034920393,31.74901573277509,20.493901531919196,30.983866769659336,23.664319132398465,25.099800796022265
mc4,10.066031402441245,9.082536182147686,22.531880166547214,10.066031402441245,23.51264064404787,19.181367864734288,23.94673519076412,24.329736473819484,13.347615200493067,25.309666684671818,19.06343654165759,25.23363977384038,25.13328864559434,12.548711554542477,25.099800796022265,32.4037034920393,0.0,29.698484809834994,25.099800796022265,28.460498941515414,27.748873851023216,20.493901531919196
mc5,25.174109588458503,26.405449417836813,25.06522724094437,25.174109588458503,13.115183188376964,23.713354719157433,23.55642211226509,23.24440142837906,23.27571504874022,11.286552287332164,24.618813650435758,24.474701392261274,23.865866168605685,23.787773900347858,35.4964786985977,31.74901573277509,29.698484809834994,0.0,27.49545416973504,26.832815729997478,25.92296279363144,25.099800796022265
mc6,20.142513275829234,21.23956177266419,7.509149042086153,20.142513275829234,21.53413032976607,9.249464020700085,21.226679692094617,15.733894405265563,15.60759852722059,22.764555017452395,8.358244800507867,22.12797319675895,15.621762778624763,15.757725783160085,28.982753492378876,20.493901531919196,25.099800796022265,27.49545416973504,0.0,25.69046515733026,20.493901531919196,14.491376746189438
mc7,23.639325057444356,25.120410530704994,23.164757036545428,23.639325057444356,21.53642260240651,21.609474483866297,11.10965289360715,20.69546513991882,21.185714741856916,23.100166432899325,22.76397555958985,9.544094650238778,21.510645918464274,21.854479682416933,35.4964786985977,30.983866769659336,28.460498941515414,26.832815729997478,25.69046515733026,0.0,23.664319132398465,22.58317958127243
mc9,22.741955062401594,24.377247038185402,17.31284621361461,22.741955062401594,20.034606365616376,17.816281613825787,19.134725382156464,7.60678921337383,19.01241661627638,21.813239365864465,18.927232938907636,20.485574341396806,6.806290423891939,19.73986563309219,35.4964786985977,23.664319132398465,27.748873851023216,25.92296279363144,20.493901531919196,23.664319132398465,0.0,18.708286933869708
