,2/2,4/4,2/4,12/8,12/4,mc4,6/4,6/8,mc12,3/4,5/4,7/4,9/4,9/8,7/8,5/8,mc6,mc2,mc9,mc7,mc5,mc3
2/2,0.0,0.0,3.091937256596699,7.370506516311733,7.750771077803929,10.066031402441245,13.127552160120755,13.71755481427841,16.776668764854747,17.72451165380138,18.26753949672237,18.531488143447632,18.756202723556733,19.58647853940566,19.775593415326878,19.999131836606924,20.142513275829234,21.774243198303047,22.741955062401594,23.639325057444356,25.174109588458503,28.43492049995665
4/4,0.0,0.0,3.091937256596699,7.370506516311733,7.750771077803929,10.066031402441245,13.127552160120755,13.71755481427841,16.776668764854747,17.72451165380138,18.26753949672237,18.531488143447632,18.756202723556733,19.58647853940566,19.775593415326878,19.999131836606924,20.142513275829234,21.774243198303047,22.741955062401594,23.639325057444356,25.174109588458503,28.43492049995665
2/4,3.091937256596699,3.091937256596699,0.0,8.735215388220087,9.485159381075468,9.082536182147686,14.580532726437749,14.884748686854197,18.38023254593921,19.033185793693278,19.998283189827934,20.432638316559068,20.606391956748524,21.319057023663355,21.515040509911433,21.519233388816758,21.23956177266419,20.55116957878713,24.377247038185402,25.120410530704994,26.405449417836813,29.184655859779593
12/8,7.370506516311733,7.370506516311733,8.735215388220087,0.0,1.581431615848557,12.548711554542477,7.444195383148461,8.30928161370042,10.324196977910951,12.401636118162983,16.170403565313926,16.1008094422056,14.852697129715358,15.933981797435711,17.619407191074455,18.238721183255215,15.757725783160085,24.13097351929087,19.73986563309219,21.854479682416933,23.787773900347858,25.59198792559372
12/4,7.750771077803929,7.750771077803929,9.485159381075468,1.581431615848557,0.0,13.347615200493067,7.130049758090956,8.319264661704446,9.803767927109702,12.147774688866424,15.361167763599527,15.148730644511849,13.983140511907854,15.165355579401135,16.789282680970107,17.57208028031585,15.60759852722059,24.906183503698298,19.01241661627638,21.185714741856916,23.27571504874022,25.521930727513766
mc4,10.066031402441245,10.066031402441245,9.082536182147686,12.548711554542477,13.347615200493067,0.0,19.181367864734288,19.06343654165759,20.493901531919196,22.531880166547214,23.51264064404787,23.94673519076412,24.329736473819484,25.13328864559434,25.23363977384038,25.309666684671818,25.099800796022265,25.099800796022265,27.748873851023216,28.460498941515414,29.698484809834994,32.4037034920393
6/4,13.127552160120755,13.127552160120755,14.580532726437749,7.444195383148461,7.130049758090956,19.181367864734288,0.0,2.9589580575274232,8.565390152161756,6.842969148982471,16.35452417622192,15.987991420246253,12.222156318954232,13.014232237740613,17.31566855310849,18.13961597314207,9.249464020700085,25.886957514774892,17.816281613825787,21.609474483866297,23.713354719157433,22.250616160688484
6/8,13.71755481427841,13.71755481427841,14.884748686854197,8.30928161370042,8.319264661704446,19.06343654165759,2.9589580575274232,0.0,9.406384937073812,6.528850434267506,17.75799011372508,17.599372090036468,13.59182063674927,14.16037109035267,18.726219458784566,19.297488147436397,8.358244800507867,24.789248460507842,18.927232938907636,22.76397555958985,24.618813650435758,21.857728267187202
mc12,16.776668764854747,16.776668764854747,18.38023254593921,10.324196977910951,9.803767927109702,20.493901531919196,8.565390152161756,9.406384937073812,0.0,9.872023519379637,17.498484224990992,16.671365560905063,13.375779297477802,14.825116521810825,18.50831757229775,19.896499757395688,14.491376746189438,32.4037034920393,18.708286933869708,22.58317958127243,25.099800796022265,25.099800796022265
3/4,17.72451165380138,17.72451165380138,19.033185793693278,12.401636118162983,12.147774688866424,22.531880166547214,6.842969148982471,6.528850434267506,9.872023519379637,0.0,18.892370945707338,18.49427183331001,11.971213276339038,12.23664528266398,19.70690229210857,20.528262523074492,7.509149042086153,29.618898295687202,17.31284621361461,23.164757036545428,25.06522724094437,16.860908496117275
5/4,18.26753949672237,18.26753949672237,19.998283189827934,16.170403565313926,15.361167763599527,23.51264064404787,16.35452417622192,17.75799011372508,17.498484224990992,18.892370945707338,0.0,15.976504706936229,16.18734831601945,17.321713947527506,17.580618575116052,4.725716542773109,21.53413032976607,32.02201940411333,20.034606365616376,21.53642260240651,13.115183188376964,28.955306529459246
