,5/8,5/4,mc5,9/4,6/4,12/4,7/4,12/8,9/8,6/8,7/8,3/4,2/2,4/4,mc12,2/4,mc9,mc6,mc7,mc4,mc3,mc2
5/8,0.0,2.8545807211371392,8.846525447416168,18.501639514241212,18.507081403861847,18.54269577821641,18.711955008037986,19.08960478791456,19.09428551306404,19.37134672493801,19.413508938780016,20.48600291309661,20.61266753713839,20.61266753713839,21.012316858738544,21.63806623888902,22.243939126410382,23.095222269284594,23.157362898785287,25.00522192589559,28.019408056301927,30.0146067648767
5/4,2.8545807211371392,0.0,9.751701647701985,17.38305332412552,17.824827723151614,17.73653773736894,17.29774172905198,18.361290809268578,18.09709192201779,18.817164304695858,18.161952629026118,19.738020719772177,20.0761211292932,20.0761211292932,19.324159691869433,21.202556572887715,20.91515051842962,22.087904136170966,21.985713376875875,23.80921883104286,27.548866067037522,30.17011742336955
mc5,8.846525447416168,9.751701647701985,0.0,23.396319374142724,24.60390859957022,24.723891915356436,23.292650640825517,25.237880918156065,23.95120936451877,25.4216180875216,23.965776224482774,25.48202146733009,26.67221793607858,26.67221793607858,25.099800796022265,27.621301226026034,25.92296279363144,27.49545416973504,26.832815729997478,29.698484809834994,31.74901573277509,35.4964786985977
9/4,18.501639514241212,17.38305332412552,23.396319374142724,0.0,14.183782067845545,16.674972690884047,16.99591057158241,17.286250771000123,1.572153163643502,15.117066471485764,17.807710322550097,9.371251924922923,19.98187734320453,19.98187734320453,15.65181648387643,21.102920812886534,10.52997496911535,15.185274801765173,21.702337577119646,24.263759074330288,15.708281143665182,30.302856145887514
6/4,18.507081403861847,17.824827723151614,24.60390859957022,14.183782067845545,0.0,6.746301393630056,18.36675507637721,7.015829783950621,14.459428242478689,1.855287940084312,18.814916826701467,11.318237560650331,10.353393821168684,10.353393821168684,15.65600948638201,11.228266461381969,21.169416084432868,12.917888763141859,23.53741705681455,18.452711477167362,22.20639799703207,18.757410620094124
12/4,18.54269577821641,17.73653773736894,24.723891915356436,16.674972690884047,6.746301393630056,0.0,18.446272707354705,1.0486824967566328,17.122445912498744,7.1315773073327335,18.98399306348789,15.466636498301206,5.160388578965741,5.160388578965741,16.90821829199694,6.3045080092247545,22.70325975727764,18.27149803230125,23.75520897494223,13.156076620070605,25.544050069011647,17.79284465202101
7/4,18.711955008037986,17.29774172905198,23.292650640825517,16.99591057158241,18.36675507637721,18.446272707354705,0.0,19.17067446996353,17.866506495253958,19.521514556398227,2.4427129587190586,19.98406530747323,21.126536338935267,21.126536338935267,17.987699387537617,22.36938103046971,19.73567963405563,21.507212299549547,8.319980162087745,23.96464468079562,27.787107779719644,31.485119494790034
12/8,19.08960478791456,18.361290809268578,25.237880918156065,17.286250771000123,7.015829783950621,1.0486824967566328,19.17067446996353,0.0,17.68040095805835,7.201800772677564,19.650984729138486,15.81787560594014,4.687107787650878,4.687107787650878,17.611488809111773,5.630034663905703,23.38587582348263,18.73008404478359,24.379601630577053,13.16566875692523,25.785575437242628,17.172555090635655
9/8,19.09428551306404,18.09709192201779,23.95120936451877,1.572153163643502,14.459428242478689,17.122445912498744,17.866506495253958,17.68040095805835,0.0,15.285289748233405,18.57845697408884,9.170976670922379,20.256166105877966,20.256166105877966,16.78386721069146,21.313596804954397,10.976287895672767,15.444209218650991,22.418257060837796,24.89056299524408,14.933256131143402,30.235863700870926
6/8,19.37134672493801,18.817164304695858,25.4216180875216,15.117066471485764,1.855287940084312,7.1315773073327335,19.521514556398227,7.201800772677564,15.285289748233405,0.0,19.875153855897736,11.685041766761138,10.310541562590961,10.310541562590961,16.762614058487916,11.00365162810339,22.228117927933784,13.457851417599567,24.53354493949243,18.759208097533556,22.367324822310767,17.79694046739368
7/8,19.413508938780016,18.161952629026118,23.965776224482774,17.807710322550097,18.814916826701467,18.98399306348789,2.4427129587190586,19.650984729138486,18.57845697408884,19.875153855897736,0.0,20.495332605963448,21.46826011459733,21.46826011459733,19.31262812405109,22.639796644912682,20.75349094324468,22.24436172208018,7.569506446716221,24.832350911413993,28.10400319541597,31.33923614069389
3/4,20.48600291309661,19.738020719772177,25.48202146733009,9.371251924922923,11.318237560650331,15.466636498301206,19.98406530747323,15.81787560594014,9.170976670922379,11.685041766761138,20.495332605963448,0.0,18.88114988408391,18.88114988408391,15.747319750278555,19.71931874015798,18.863602306564708,11.543337910270731,24.38566103542461,24.028753859048933,12.31057745622331,28.17961344738517
2/2,20.61266753713839,20.0761211292932,26.67221793607858,19.98187734320453,10.353393821168684,5.160388578965741,21.126536338935267,4.687107787650878,20.256166105877966,10.310541562590961,21.46826011459733,18.88114988408391,0.0,0.0,21.507275069144484,1.8435488673206095,25.76577184739933,21.97276672180963,26.093117645105576,13.370458921018807,27.97687483862031,15.475398582663823
4/4,20.61266753713839,20.0761211292932,26.67221793607858,19.98187734320453,10.353393821168684,5.160388578965741,21.126536338935267,4.687107787650878,20.256166105877966,10.310541562590961,21.46826011459733,18.88114988408391,0.0,0.0,21.507275069144484,1.8435488673206095,25.76577184739933,21.97276672180963,26.093117645105576,13.370458921018807,27.97687483862031,15.475398582663823
mc12,21.012316858738544,19.324159691869433,25.099800796022265,15.65181648387643,15.65600948638201,16.90821829199694,17.987699387537617,17.611488809111773,16.78386721069146,16.762614058487916,19.31262812405109,15.747319750278555,21.507275069144484,21.507275069144484,0.0,22.73540613010013,18.708286933869708,14.491376746189438,22.58317958127243,20.493901531919196,25.099800796022265,32.4037034920393
2/4,21.63806623888902,21.202556572887715,27.621301226026034,21.102920812886534,11.228266461381969,6.3045080092247545,22.36938103046971,5.630034663905703,21.313596804954397,11.00365162810339,22.639796644912682,19.71931874015798,1.8435488673206095,1.8435488673206095,22.73540613010013,0.0,26.95105796038624,22.920623619492535,27.192327087081047,13.762954476438104,28.59722741405223,14.655640604833392
mc9,22.243939126410382,20.91515051842962,25.92296279363144,10.52997496911535,21.169416084432868,22.70325975727764,19.73567963405563,23.38587582348263,10.976287895672767,22.228117927933784,20.75349094324468,18.863602306564708,25.76577184739933,25.76577184739933,18.708286933869708,26.95105796038624,0.0,20.493901531919196,23.664319132398465,27.748873851023216,23.664319132398465,35.4964786985977
