,7/4,7/8,mc7,9/4,5/4,9/8,mc12,6/4,12/4,5/8,12/8,6/8,mc9,3/4,4/4,2/2,mc6,2/4,mc5,mc4,mc3,mc2
7/4,0.0,2.4427129587190586,8.319980162087745,16.99591057158241,17.29774172905198,17.866506495253958,17.987699387537617,18.36675507637721,18.446272707354705,18.711955008037986,19.17067446996353,19.521514556398227,19.73567963405563,19.98406530747323,21.126536338935267,21.126536338935267,21.507212299549547,22.36938103046971,23.292650640825517,23.96464468079562,27.787107779719644,31.485119494790034
7/8,2.4427129587190586,0.0,7.569506446716221,17.807710322550097,18.161952629026118,18.57845697408884,19.31262812405109,18.814916826701467,18.98399306348789,19.413508938780016,19.650984729138486,19.875153855897736,20.75349094324468,20.495332605963448,21.46826011459733,21.46826011459733,22.24436172208018,22.639796644912682,23.965776224482774,24.832350911413993,28.10400319541597,31.33923614069389
mc7,8.319980162087745,7.569506446716221,0.0,21.702337577119646,21.985713376875875,22.418257060837796,22.58317958127243,23.53741705681455,23.75520897494223,23.157362898785287,24.379601630577053,24.53354493949243,23.664319132398465,24.38566103542461,26.093117645105576,26.093117645105576,25.69046515733026,27.192327087081047,26.832815729997478,28.460498941515414,30.983866769659336,35.4964786985977
9/4,16.99591057158241,17.807710322550097,21.702337577119646,0.0,17.38305332412552,1.572153163643502,15.65181648387643,14.183782067845545,16.674972690884047,18.501639514241212,17.286250771000123,15.117066471485764,10.52997496911535,9.371251924922923,19.98187734320453,19.98187734320453,15.185274801765173,21.102920812886534,23.396319374142724,24.263759074330288,15.708281143665182,30.302856145887514
5/4,17.29774172905198,18.161952629026118,21.985713376875875,17.38305332412552,0.0,18.09709192201779,19.324159691869433,17.824827723151614,17.73653773736894,2.8545807211371392,18.361290809268578,18.817164304695858,20.91515051842962,19.738020719772177,20.0761211292932,20.0761211292932,22.087904136170966,21.202556572887715,9.751701647701985,23.80921883104286,27.548866067037522,30.17011742336955
9/8,17.866506495253958,18.57845697408884,22.418257060837796,1.572153163643502,18.09709192201779,0.0,16.78386721069146,14.459428242478689,17.122445912498744,19.09428551306404,17.68040095805835,15.285289748233405,10.976287895672767,9.170976670922379,20.256166105877966,20.256166105877966,15.444209218650991,21.313596804954397,23.95120936451877,24.89056299524408,14.933256131143402,30.235863700870926
mc12,17.987699387537617,19.31262812405109,22.58317958127243,15.65181648387643,19.324159691869433,16.78386721069146,0.0,15.65600948638201,16.90821829199694,21.012316858738544,17.611488809111773,16.762614058487916,18.708286933869708,15.747319750278555,21.507275069144484,21.507275069144484,14.491376746189438,22.73540613010013,25.099800796022265,20.493901531919196,25.099800796022265,32.4037034920393
6/4,18.36675507637721,18.814916826701467,23.53741705681455,14.183782067845545,17.824827723151614,14.459428242478689,15.65600948638201,0.0,6.746301393630056,18.507081403861847,7.015829783950621,1.855287940084312,21.169416084432868,11.318237560650331,10.353393821168684,10.353393821168684,12.917888763141859,11.228266461381969,24.60390859957022,18.452711477167362,22.20639799703207,18.757410620094124
12/4,18.446272707354705,18.98399306348789,23.75520897494223,16.674972690884047,17.73653773736894,17.122445912498744,16.90821829199694,6.746301393630056,0.0,18.54269577821641,1.0486824967566328,7.1315773073327335,22.70325975727764,15.466636498301206,5.160388578965741,5.160388578965741,18.27149803230125,6.3045080092247545,24.723891915356436,13.156076620070605,25.544050069011647,17.79284465202101
5/8,18.711955008037986,19.413508938780016,23.157362898785287,18.501639514241212,2.8545807211371392,19.09428551306404,21.012316858738544,18.507081403861847,18.54269577821641,0.0,19.08960478791456,19.37134672493801,22.243939126410382,20.48600291309661,20.61266753713839,20.61266753713839,23.095222269284594,21.63806623888902,8.846525447416168,25.00522192589559,28.019408056301927,30.0146067648767
12/8,19.17067446996353,19.650984729138486,24.379601630577053,17.286250771000123,18.361290809268578,17.68040095805835,17.611488809111773,7.015829783950621,1.0486824967566328,19.08960478791456,0.0,7.201800772677564,23.38587582348263,15.81787560594014,4.687107787650878,4.687107787650878,18.73008404478359,5.630034663905703,25.237880918156065,13.16566875692523,25.785575437242628,17.172555090635655
6/8,19.521514556398227,19.875153855897736,24.53354493949243,15.117066471485764,18.817164304695858,15.285289748233405,16.762614058487916,1.855287940084312,7.1315773073327335,19.37134672493801,7.201800772677564,0.0,22.228117927933784,11.685041766761138,10.310541562590961,10.310541562590961,13.457851417599567,11.00365162810339,25.4216180875216,18.759208097533556,22.367324822310767,17.79694046739368
