id,tau_coefficient,tau_p_value
1,0.0,1.0
2,0.8486684247915055,0.004734864859576419
3,0.3857583749052298,0.1991834291115624
4,0.1543033499620919,0.6075648328123765
5,0.3086066999241838,0.3043709388357807
6,0.1543033499620919,0.6075648328123765
7,0.23145502494313788,0.44110482535611073
10,0.5400617248673217,0.07226673626558018
15,0.46291004988627577,0.12340009909942683
19,0.6172133998483676,0.03995533574046058
24,0.5400617248673217,0.07226673626558018
25,0.7715167498104596,0.010235712391270746
26,0.1543033499620919,0.6075648328123765
29,0.3086066999241838,0.3043709388357807
36,0.3857583749052298,0.1991834291115624
39,0.6943650748294136,0.020833591769524398
40,0.6943650748294136,0.020833591769524398
41,0.6943650748294136,0.020833591769524398
44,0.07715167498104596,0.7973514701113643
55,0.3086066999241838,0.3043709388357807
56,-0.3857583749052298,0.1991834291115624
57,0.23145502494313788,0.44110482535611073
58,0.5400617248673217,0.07226673626558018
