INDEX - DISTANCE - PATTERN - METER
0. - 0.104770408061 - [1,0,1,1,0,1,1,0] - [2,4] 
1. - 0.104770408061 - [1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0] - [4,4] 
2. - 0.107749944438 - [0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1] - [2,2] 
3. - 0.107749944438 - [0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1] - [4,4] 
4. - 0.111030665852 - [1,1,1,0,1,0,0,1] - [2,4] 
5. - 0.111536432592 - [1,0,0,1,1,1,1,0] - [2,4] 
6. - 0.111536432592 - [1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0] - [4,4] 
7. - 0.113081136349 - [1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0] - [2,2] 
8. - 0.113081136349 - [1,1,0,0,1,0,1,1] - [2,4] 
9. - 0.113081136349 - [1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0] - [4,4] 
10. - 0.113181114659 - [1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0] - [2,2] 
11. - 0.114659910057 - [1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1] - [2,2] 
12. - 0.117851813173 - [1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0] - [4,4] 
13. - 0.119644469137 - [1,0,1,1,1,1,0,0] - [2,4] 
14. - 0.134126220266 - [1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0] - [2,2] 
15. - 0.142822560550 - [1,0,1,1,0,0,1,1] - [2,4] 
16. - 0.147320863090 - [1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0] - [4,4] 
17. - 0.148342382972 - [0,0,1,1,1,0,1,1] - [2,4] 
18. - 0.148769046719 - [1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0] - [2,2] 
19. - 0.148769046719 - [1,0,0,1,1,0,1,1] - [2,4] 
20. - 0.150065153167 - [1,0,1,1,1,0,0,1] - [2,4] 
21. - 0.152507715880 - [1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0] - [2,2] 
22. - 0.152507715880 - [1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0] - [2,2] 
23. - 0.152507715880 - [1,1,1,0,1,0,1,0] - [2,4] 
24. - 0.152507715880 - [1,0,1,0,1,1,1,0] - [2,4] 
25. - 0.152507715880 - [1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0] - [4,4] 
26. - 0.152507715880 - [1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0] - [4,4] 
